-15 -0.0581392 0.00442627
-13 -0.0501288 0.00399069
-11 -0.0531218 0.00437465
-9 -0.0458047 0.00469391
-7 -0.0394055 0.00431142
-5 -0.0435917 0.00453715
-3 -0.0348508 0.00413031
-1 -0.0233604 0.0045654
1 -0.019553 0.00453137
3 -0.0232107 0.00431717
5 -0.0135239 0.00428171
7 -0.0142192 0.00429638
9 5.33357e-05 0.0049196
11 -0.00454162 0.00447676
13 -0.00120543 0.0038522
15 0.00792677 0.00467604
17 0.00325815 0.00444913
19 0.0203058 0.00445313
21 0.0264082 0.00430967
23 0.0187745 0.00457514
25 0.0340318 0.00454314
